Company name,Booth,Website,Website link,Company info
AERATION INDUSTRIES INTERNATIONAL,L1-P30,http://www.aireo2.com,http://www.aireo2.com,"Aeration Industries International combines engineering expertise with patented technologies to develop reliable, customized wastewater treatment solutions worldwide. Our product line features the Aire-O2 Triton® TR Series aerator/mixer and the Aire-O2® Antifouling Aspirator, helping to solve the most challenging municipal and industrial wastewater treatment needs. We are the knowledgeable partner you can trust to turn your water challenges into opportunities."
AEROLION TECHNOLOGIES,L1-N10,http://-,http://-,NA
AERZEN ASIA PTE LTD,B2-M16,http://www.aerzenasia.com,http://www.aerzenasia.com,"AERZEN was founded 150 years ago in 1864. Located in Aerzen, Germany, it invented Europes first Rotary Lobe Blower in 1868, followed by Oil Free Screw Compressors, and added the high-speed air-foil bearings Turbo Blower to its product range. 

As an application specialist, AERZEN with 50 subsidiaries worldwide are the market leader and innovator in the compression technology. The Asia Pacific head office in Singapore leads 12 countries with sales and service capabilities. Its service centers are equipped with customised tools and equipment. Together with our factory trained technicians, Aerzen aims to offer the best aftersales care onsite or inhouse."
AGRU TECHNOLOGY PTE LTD,B2-G22,http://www.agrutech.com,http://www.agrutech.com,"AGRU Technology Pte Ltd is the leading distributor for the supply of thermoplastic pipework system, which includes piping systems, valves, semi-finished products, lining systems, welding equipment and accessories.

We supply material like PVC, CPVC, PE, PP, PVDF, ECTFE, PFA and FEP as a complete one stop solution to solve problems arising from corrosion to extreme conditions for municipal and industrial application."
AKVOLA TECHNOLOGIES GMBH,B2-M08,http://www.akvola.com,http://www.akvola.com,"akvola Technologies is a German water technology company that provides cost-effective and environmentally-friendly solutions based on akvoFloat  a proprietary flotation-filtration process to clean hard-to-treat industrial wastewater containing high concentrations of oil (free and emulsi ed) and suspended solids.

These solutions can be implemented four major water-using industries: Oil and gas, Refining and petrochemicals, Metalworking and Steel."
AKZONOBEL,B2-V07,http://www.international-pc.com,http://www.international-pc.com,"AkzoNobel creates everyday essentials to make peoples lives more liveable and inspiring. As a leading global paints and coatings company, we supply essential ingredients, essential protection and essential color to industries and consumers worldwide. Backed by a pioneering heritage, our innovative products and sustainable technologies are designed to meet the growing demands of our fast-changing planet, while making life easier. Headquartered in Amsterdam, the Netherlands, we are present around the globe, while our portfolio includes well-known brands such as Dulux, Sikkens, International and Interpon. Consistently ranked as a leader in sustainability, we are dedicated to energizing cities and communities."
ALBERTA ECONOMIC DEVELOPMENT AND TRADE,B2-V30,http://www.albertacanada.com,http://www.albertacanada.com,"The Ministry of Economic Development and Trade provides leadership on the Government of Albertas economic growth and diversification efforts and manages the provinces network of international offices. Alberta representatives are available to discuss trade and investment opportunities, share market intelligence and help develop business contacts. Alberta operates a network of international offices in Beijing; Shanghai; Guangzhou; Hong Kong; Seoul; Taipei; Tokyo; Singapore; New Delhi; London; Mexico City; and Washington, D.C."
ALCHIMICA S.A.,-,http://www.alchimica.com,http://www.alchimica.com,"ALCHIMICA S.A. is the leading independent manufacturer in Europe, and among the top 4 global manufacturers of polyurethane waterproofing products.  

For over 35 years, our mission has been and continues to be, innovation. 

We create, produce and supply high quality building chemicals that add value to our partners' work and the global building chemicals market. We continuously introduce new technologies to the global market, and carve new paths that create new opportunities for our company and most importantly, for our partners within the construction industry."
AMCON INC.,L1-K30,http://en.amcon.co.jp/,http://en.amcon.co.jp/,"AMCON is a JAPANESE manufacturer of the Multi disc-type screw press dewatering equipment VOLUTE. AMCON first invented Volute in the world as a pioneer. Since establishment in 1974, AMCON has developed and sold more than 3,500 units in over 70 countries. 

With Volute's easy and low-cost operation such as LOW electricity consumption, LOW rinsing water consumption, LOW noises, LOW labor cost, we keep the LARGEST class share in the Japanese market in comparison to several types of dewatering equipment.

Now, we are seeking New partner distributors to develop more effectively and rapidly all of the world.

Distributors wanted!!"
AMIAD SINGAPORE,B2-J26,http://www.amiad.com,http://www.amiad.com,"Amiad Water Systems is a world leader in water treatment and filtration solutions. For over 50 years Amiad committed to developing a comprehensive line of water filter for protecting water applications in the Industrial, Municipal, Irrigation, Ballast Water, Oil & Gas and domestic use segments. 

Amiad solutions are based on its 3 brand - ARKAL, FILTOMAT and AMIAD - and its 3 technologies: 

Suction-scanning screen technology
Spin Klin disc technology
Microfiber technology 

Amiad technologies are designed to ensure 

Ultra low energy consumption
Low maintenance 
Small footprint
Limited to no use of chemicals 
Minimal use of flush water for backwash cleaning"
AMSTERDAM INTERNATIONAL WATER WEEK,B2-M32,"http://internationalwaterweek,com","http://internationalwaterweek,com","The Amsterdam International Water Week (AIWW) is a global movement towards a sustainable water environment. This biennial event gathers experts from cities, industries, and utilities from all over the world to combine real-life water cases with innovative solutions. And so creating a circular and resilient water environment in high-density living areas. In 2017 we hosted the fourth edition of this event and we are looking forward to the next edition (our fifth anniversary) form 4 to 8 November 2019."
ANDRITZ,B2-P22,http://www.andritz.com,http://www.andritz.com,"The ANDRITZ GROUP is a global leading supplier of plants, equipment, and services for hydropower stations, the pulp and paper industry, the metalworking and steel industries, and solid/liquid separation in the municipal and industrial sectors.

ANDRITZ SEPARATION is the world's leading separation specialist with the broadest technology portfolio and more than 2,000 specialists in 40 countries. For more than 150 years we have been a driving force in the evolution of separation solutions and services for industries ranging from environment to food, chemicals and mining & minerals."
"ANHUI LINE ELECTRIC PUMP CO., LTD",B2-N22,http://alinepump.com ,http://alinepump.com ,"Anhui Line Electric Pump Co.,Ltd, located in Ningguo economic and technological development zone, Anhui province, is an enterprise of National key high-tech, National Double excellence, provincial key export, and also the backbone enterprise in China pump industry. 
Our company has the capacity for independent development and manufacturing pumps for industries. For a long time, we provide superior products and services in various fields, such as nuclear power, electric power, petrifaction, metallurgy, chemical industry, plumbing work, fire fighting, papermaking and so on. 

Our company has been established nuclear safety quality control system, and got approval of nuclear safety design and manufacture"
"ANHUI TANGXING MACHINERY EQUIPMENT CO., LTD",B2-H02,http://www.tangxing.cn,http://www.tangxing.cn,"Anhui Tangxing Machinery Equipment Co., Ltd. was established in January 2005,which concentrates on manufacturing and designing,provides integral solutions of trenchless engineering technology and equipment,has become a leading core base for manufacturing modernized trenchless equipment after more than ten years development and innovation.

The company integrates R&D;,design,manufacturing and sales for variety types of pipe jacking machines:Slurry Balance Series,EPB Series,Compound with Slurry&Earth;,Open-face,Hard Rock Series,Rectangular Series and Micro-ABM Series,of which diameter ranges from 250mm-4500mm and applied to different kinds of soil condition.The equipment are widely applied to pipeline laying,traffic track,pipeline reconstruction,project crossing river or highway and other constructions."
ANNAIK LIMITED,B2-M21,http://-,http://-,"AnnAik Limited has 3 primary business divisions, namely distribution, manufacturing and environment.

More than 10,000 high quality carbon and stainless steel products are distributed through AnnAiks Singapore headquarter, enabling it to be a one-stop supply centre for steel products.

Forged flanges are produced out of Malaysia, with a distribution network of over 450 customers around the world.

AnnAik has invested and is currently operating 7 wastewater treatment plants and 1 potable water treatment plant in China. In recent years, AnnAik ventured into rural wastewater treatment through its patented technology. In Singapore, AnnAik's subsidiary Pioneer Group provides consultancy and management for industrial hard-to-treat projects."
"APS TECH CO.,LTD.",B2-X32,http://www.apstech.co.kr,http://www.apstech.co.kr,"Since the establishment in 1996, APS TECH Co., Ltd. has been an eco friendly company that contributed to the improvement of health and the preservation of nature with acquisitions of many international authentications like ISO 9001 : 2001 system, and passed CE, CB, and SASO. APS has produced all kinds of water purification equipments such as hot and cold water purifier, water dispenser, various water filters, under sink, and accessories. With years of efforts, successfully entered the world market ,and enjoyed a good reputation by good quality, competitive price and excellent service .with strong Research and Development team."
AQUA MEMBRANES,L1-N10,http://-,http://-,NA
AQUABIO LIMITED,L1-P18,http://-,http://-,"Aquabio is a European Leader in the treatment and energy recovery of industrial water and wastewater reuse. With significant references across the UK in industrial markets,  Aquabio are able to provide sustainable and economical  turnkey solutions in waste to energy, water recycling and water reuse projects encompassing both anaerobic (AD) and aerobic systems.

Aquabio provide packaged solutions for design, build, finance and operation. With a strong  customer focus, Aquabios process led  philosophy ensures that the most appropriate and value lead technology is identified for each unique application. Aquabio have their own proprietary treatment technology with associated control hardware and software."
AQUABIOTECH LIMITED,-,http://www.aquabt.com,http://www.aquabt.com,NA
AQUAFORTUS,L1-N10,http://-,http://-,NA
AQUALABO,B2-P09,http://www.aqualabo.fr,http://www.aqualabo.fr,"AQUALABO designs, manufactures and markets a wide range of water analysis and testing devices and instruments. Our philosophy, our added value: Water analysis is simple, economic, energy efficient and reliable. Its multiple brands PONSEL, PERAX, AQUALYSE, SECOMAM and ORCHIDIS offer you solutions tailored to your water management requirements.Our teams produce reliable, highly accurate and easy-to-use equipment in France.Extensive experience, both in the field and in the laboratory, enable us to provide products and services that cover all your water testing needs."
AQUAM TECHNOLOGIES,B2-T30,http://www.aquamcorp.co.uk,http://www.aquamcorp.co.uk,"Aquam Corporation is a world leading pipeline infrastructure business providing diagnostic, rehabilitation and support services and technologies. 

Our portfolio of proven technology can resolve the challenges of corrosion and deterioration in ageing pipe networks affecting a wide range of industries.

Aquam can provide robust data to underpin decisions on how, when and where to invest for sustainable, long-term infrastructure. Our skilled technicians and engineers offer a range of specialist services that pinpoint blockages and leakage, manage emergency and planned works and restore corroded pipes."
AQUAPORIN A/S,L1-L30,http://-,http://-,"Aquaporin A/S is a global membrane technology company dedicated to revolutionizing water purification through the use of industrial biotechnological techniques and thinking.

The Aquaporin Group develops and produces novel membranes for reverse osmosis and forward osmosis applications. The core technology is the use of natures own water channels, aquaporin proteins, to enable fast transport of H2O in conventional membrane technology. With this you will experience revolutionizing high water flow through RO membranes without compromising on quality and safety, or ultra-high water quality in forward osmosis processes."
AQUATECH GLOBAL EVENTS/RAI AMSTERDAM,B2-M32,http://-,http://-,NA
AQUATICS INFORMATICS,B2-W30,http://www.aquaticinformatics.com,http://www.aquaticinformatics.com,"Aquatic Informatics provides software solutions that address critical water data management, analytics, and compliance challenges for the water industry. It provides water management solutions to over 1,000 municipal, federal, state/provincial, hydropower, mining, academic, and consulting organizations that collect, manage, and process large volumes of water data. Its platforms include AQUARIUS analytics software (natural environments), WaterTrax compliance and electronic reporting tools (municipalities), and Linko software (industrial pre-treatment and hauled waste records). The full range of solutions include: standalone software packages, hosted software services, and enterprise-wide national systems serving thousands of users and processing environmental data from several thousand monitoring stations."
AQWISE,L1-J10,http://www.aqwise.com,http://www.aqwise.com,"Aqwise is a world leader in the development and implementation of innovative water and wastewater treatment solutions for diverse industrial and municipal markets. Aqwises comprehensive solutions portfolio is designed to increase BOD and nutrient removal capacity in water and wastewater treatment facilities and offer enhanced utilization of existing plants as well as unique efficiencies in the implementation of new ones.

With over 550 of water and wastewater treatment plants successfully implemented in more than 50 countries worldwide, Aqwise project deployment methodology and wide range of services are designed to meet global clients priorities and operational needs."
ARCADIS,L1-N28,http://www.arcadis.com,http://www.arcadis.com,"Arcadis is the leading global Design & Consultancy firm for natural and built assets. Applying our deep market sector insights and collective design, consultancy, engineering, project and management services we work in partnership with our clients to deliver exceptional and sustainable outcomes throughout the lifecycle of their natural and built assets. We are 27,000 people, active in over 70 countries that generate 3.2 billion in revenues. We support UN-Habitat with knowledge and expertise to improve the quality of life in rapidly growing cities around the world. www.arcadis.com"
ARDEO SOLUTIONS,B2-Q35,http://www.ardeo-solutions.com,http://www.ardeo-solutions.com,"ARDEO SOLUTIONS is a distributor of niche advanced technology products with engineering competency to support customers and partners to develop customized and optimized solutions. With a strong background in construction activities, water and sewerage network asset management activities, our team will provide high added value services.

Our commercial network in Asia is valuable to save time in securing orders but also to find reliable potential partners or customers.

Based in Singapore, our commercial network covers countries like Japan, Korea, Vietnam, Philippines, Indonesia, Hong Kong, Myanmar."
ARVIA TECHNOLOGY LTD.,B2-T30,http://www.arviatechnology.com,http://www.arviatechnology.com,"Arvias Nyex  Treatment Systems combine adsorption with electrochemical oxidation in a single, scalable unit. Contaminants are concentrated on the surface of Arvias proprietary adsorbent media which is non-porous with high electrical conductivity. This patented media allows for targeted and continuous oxidation. The process offers a state of the art solution for the reduction of trace hard-to-treat organics (COD), micropollutants/contaminants of emerging concern (CECs) and colour; from water and wastewater streams. Each system is tailored to meet treatment requirements for regulatory discharge compliance, safe water reuse or influent/raw water treatment."
ASIAN WATER MAGAZINE,L1-N45,http://www.asianwater.com.my,http://www.asianwater.com.my,"Asian Water, a bi-monthly magazine that brings to readers the rapid economic growth and industrialisation that is taking place in Asia, particularly in Southeast Asia, one of the worlds fastest growing markets for water and wastewater treatment technology. Published since 1984 and acquired by SHP since 2001, Asian Water has been an impartial, interesting and trusted source of information covering every country in Asia. Please view our magazine at www.asianwater.com.my"
ASOKY NANYANG PTE LTD,B2-K26,http://-,http://-,"ASOKY Polymer Resin Concrete Pipe has taken the lead for sewerage piping solution in terms of Corrosive Resistance, High Intensity, Vibration Resistance, Casting Method, and Economic Benefits. Products has been used in various important government projects in Japan, Taiwan, and Singapore with remarkable outstanding performance.
ASOKY NANYANG PTE LTD is the authorized distributor of ASOKY brand polymer resin concrete pipes in the territory of South East Asia. We provide the most advanced sewerage piping solution for open trench and trenchless pipe laying."
ATARFIL A.L.,-,http://www.atarfil.com,http://www.atarfil.com,"Atarfil is a multinational manufacturer of plastic geomembranes for Safe Containment solutions to ensure Environmental protection in WASTE, WATER and MINING applications.
We own and develop in-house processing technology, providing final customers with a unique global product.
We offer a wide range of products and a large production capacity, which ensures both delivery times and quantities.
Our materials are produced within the highest standards of quality in the industry, while maintaining a high degree of price competitiveness.
With Manufacturing Plants in Europe (Spain), Middle East (Dubai) and USA (Virginia) and Sales Ofices in Spain, EAE, USA, Australia, India,Turkey, Mexico & South Africa."
ATG UV TECHNOLOGY LTD,B2-T30,http://www.atguv.com,http://www.atguv.com,"atg UV Technology Ltd are world leaders in the design and manufacture of
environmentally friendly  UV water disinfection systems, established  35 years in the UK.
Our cutting-edge UV systems are free from chemicals and safeguard your drinking water from all known microorganisms. UV is a proven, safe alternative for primary disinfection and contains none of the harmful by-products associated with chemical disinfection.
Our UV systems are widely favoured in drinking water, water reuse and wastewater treatment plants worldwide. Other markets  supplied for UV disinfection include Aquatics, Aquaculture, Food & Beverage, Industrial, Marine and Oil & Gas applications."
ATL INDUSTRIES PTE LTD,B2-J35,http://www.atlindustries.com.sg,http://www.atlindustries.com.sg,We are a one stop solution for bolted tanks in Singapore. We supply and install bolted tanks specific to each individual's requirements and specifications.
ATLANTIUM TECHNOLOGIES,L1-J10,http://www.atlantium.com,http://www.atlantium.com,"Atlantium Technologies Ltd, established in 2003, provides non-chemical water treatment solutions based on ultraviolet (UV) light and fiber optics. This cost-effective, third-party validated engineered solution takes water safety to levels never before achieved without chemicals or heat. Innovative Hydro-Optic™ UV technology recycles UV photons for reduced energy consumption. Integrated software tracks and documents the process in real time with push-of-a-button reporting.  Proven for virus, crypto, giardia, and mussel protection, Atlantium systems are third-party validated to the highest regulatory standards including the USEPA and FDA. The company has an international customer base including Fortune 500 companies, with field-proven installations all over the world."
AUG SIGNALS,B2-V22,http://www.augsignals.com,http://www.augsignals.com,"Founded in 1986, A.U.G. Signals Ltd. (AUG) has been dedicated to excellence in signal, image and data processing for over two decades. AUG has an extensive track record of successful projects, collaborating with government, academic and industry partners. AUG provides superior solutions for applications primarily in: (i) Safety, Security & Surveillance; (ii) Air/Water Quality Monitoring; (iii) Earth Observation (iv) Intelligent Transport Systems. AUG’s commitment is to build a safer, more secure world. AUG’s mission is to deliver customized, reliable and robust products that protect people and critical infrastructure, ensure environmental sustainability."
"AUGUR INTELLIGENCE TECHNOLOGY (GUANGZHOU) CO., LTD.",L1-R15,http://www.augurit.com,http://www.augurit.com,"At Augur Intelligence Technology, we are committed to provide smart city solutions on water, municipal services, urban planning and geospatial services to build a smarter and better planet for tomorrow.

From 2002 to now, with projects sprung across China, Augur has established numerous well tested smart city solutions. On smart water, we cover solutions from city to entire basin, from software to hardware, from monitoring to consulting, with key focus on smart drainage and flood management system.

Now, we are looking overseas, to support cities around the world on water management and other fields. Together, lets build smarter cities."
"AURORA SCIENTIFIC INSTRUMENTS (SHANGHAI) CO., LTD.",B2-P25,http://www.asi-sensors.com,http://www.asi-sensors.com,"Aurora Scientific Instruments (Shanghai) Co., Ltd is a solely owned Shanghai branch of the U.S Company, Analytical Sensors & Instruments Ltd. With the advanced technology of ASI, Aurora is specialized in manufacturing various electrochemical (E-chem.) sensors, not only for the U.S market, but also to be exported to Europe, America, Africa, Southeast Asia, Japan, and Taiwan markets to OEM for many name brand E-chem instrument manufacturers. Our E-chem sensors receive a warm welcome from the E-chem industry and are highly praised by domestic and overseas customers in matter of quality or in terms of appearance."
"AVISTA TECHNOLOGIES, INC",B2-Q25,http://www.yoshizawa.co.jp,http://www.yoshizawa.co.jp,"Yoshizawa Lime Industry is on the frontline of production, innovation, and export of the lime-based materials in Japan. Founded in 1873, the company has been continuously developed throughout its history. Our mission is commitment to the innovation and close collaborations with the other industries to meet domestic and international demands using cutting-edge technologies. Recruiting outstanding professional staff is premise of our value to remain as frontier in the lime manufacturing. Our vision is the highest quality products in a reasonable price. As consequence, all of our products have been well-recognized worldwide."
AWA INSTRUMENTS PTE LTD,B2-U16,http://www.awa-instruments.com,http://www.awa-instruments.com,"We design and manufacture environmental monitoring solutions on-line water and air analyzers based on UV spectroscopy - of exceptional ease of use, operating-cost savings, and sensitivity. We back these up with timely and locally-available technical support and a 'can-do' attitude. We stress and practice an ethos that is based on a long-term and mutually-beneficial relationship."
BAYARD BY TALIS,-,http://www.talis-group.com,http://www.talis-group.com,"BRANDS : BAYARD BELGICAST ERHARD UNIJOINT EBCO
All producst made in Europe
Gate valves, butterfly valves, fire hydrants, fittings, control valves, needle valves, air valves, check valves."
BEDFORD PUMPS LTD,B2-Q30,http://www.bedfordpumps.co.uk,http://www.bedfordpumps.co.uk,"Bedford Pumps are a flexible, highly experienced British manufacturer of large robust pumping plant for the water, wastewater, flood protection, land drainage and dockyard markets.

We are one of the few UK pump manufacturers with a predominantly British supply chain. Our pumps are designed for the most arduous and demanding applications and our brand is synonymous for its efficiency, reliability and longevity.

Bedford Pumps range of bespoke pumps include; single and multistage vertical suspended bowl pumps; shaft driven and submersible volute pumps; submersible canister pumps and fish friendly pumps.  Duties cover from typically 300 to 15,000 litres per second."
"BEIJING BAIFUSHENG CONSULTING CO.,LTD",B2-P27,http://-,http://-,"As bond between global buyers and China manufacturers, China Supplierwill be distributed to professional brby Beijing Baifushengwith specific supply information of Chinese enterprises. This series of periodicals is acombination of high-efficient, comprehensive, practical and innovative references forobal buyers during prot of Chinese producBeifusheng Co, Ltd implplements the goal of 'China Supplier, Facing theWhole world' with the long-term idea of 'China Supplier, International LeadingBrand. We provide supplier information to buyers all over the world, thusconstructing access to both. The main service of Baifusheng is internationalmarketing through periodicals, yellow pages, exhibition promotions, associateding campaigns, IntIng etc."
"BEIJING DRAINAGE EQUIPMENT. CO., LTD",L1-R24,http://www.bdc-equipment.com,http://www.bdc-equipment.com,"Beijing Drainage Equipment Co. Ltd (BDEC) is a subsidiary company wholly owned by Beijing Drainage Group Co., Ltd., established in 1999 and formally known as Beijing Baishiyuan Environmental Technology Co., Ltd. It is a high-tech enterprise recognized by concerned authorities of Beijing Municipality and Zhongguancun Science Park. It has developed around 100 patent products and delivered bespoke and trustworthy products and services for clients with references around the world."
BENTLEY SYSTEMS,B2-X02,http://-,http://-,"Bentley Systems is a global leader dedicated to providing engineers, architects, geospatial professionals, constructors, and owner-operators with comprehensive software solutions for advancing infrastructure. 

We can help you manage the lifecycle of your water and wastewater infrastructure. Build, design, and operate raw water transmission, treatment, and distribution systems to deliver potable water or sanitation systems to collect and convey sewerage and storm runoff for treatment.

Our water, wastewater, and stormwater solutions help you manage the entire urban water lifecycle. Optimize designs, manage leaks, prioritize investments, manage energy consumption, maintain assets, enhance operational workflows, and provide predictive analytics for better decision making"
BERGHOF MEMBRANE TECHNOLOGY,B2-M32,http://www.berghofmembranes.com,http://www.berghofmembranes.com,"Berghof Membrane Technology GmbH (BMT), part of the Berghof Group, is the leading manufacturer of tubular membranes for the filtration and separation of process streams and wastewater in a variety of industries including dairy, landfills, food & beverage, chemical, pharmaceutical, and oil & gas. BMT products are manufactured to the highest quality standards in the company’s fully automated facility in Eningen, Germany. With more than 50 years of experience and over 1,000 installed systems across the globe, Berghof Membranes prides itself on the robustness, flexibility, energy-efficiency and superior quality of its external filtration membranes and solutions."
BESSAC,L1-R33,http://www.bessac.com,http://www.bessac.com,"Main contractor specialized in the construction of tunnels and microtunnels, BESSAC is part of SOLETANCHE BACHY Group. The company has been building underground structures for more than 40 years with a core business in water sector (sewer, drainage, water supply, outfall...) in all range of diameters.
BESSAC masters all mechanized tunneling excavation and has completed over 100 km of tunneling and 70 km of micro-tunneling projects in the last 10 years. More than 55 % of the turnover, around 100 M, is for oversea projects.
BESSAC also has an integrated industrial department specialized in the manufacturing of tunnel boring machines."
BI PURE WATER (CANADA) INC,B2-W30,http://www.bipurewater.com,http://www.bipurewater.com,"BI Pure Water has been building water and waste treatment systems for more than twenty years, providing quality engineered and built solutions for municipalities, federal, provincial and municipal governments, industry, private land owners, resorts, remote work sites and communities. BI Pure Water specializes in containerized and mobile water treatment plants designed to specific water or waste analyses and budget. The core of their business is designing, building and testing custom package treatment plants from their facility and shipping them around the world. They are looking to expand operations and connect with government regulators, infrastructure project leads and site managers."
BINDER,B2-M09,http://-,http://-,NA
BIOPROCESS CONTROL SWEDEN AB,-,http://www.bioprocesscontrol.com,http://www.bioprocesscontrol.com,"Bioprocess Control is a market leader in the area of low gas flow analytical instruments for biotechnology-related R&D; and commercial applications including biogas production, wastewater treatment and animal feed and nutrition. We invest in innovation and development of smart instruments that allow for more efficient, reliable and higher quality research and analysis, leading to significant reductions in time and labour. We ensure the highest product quality throughout our portfolio, and focus on being service minded and always meeting the needs of our customers."
BLUEOCEAN MEMTECH,L1-N10,http://-,http://-,NA
BLUEWATER BIO,-,http://www.bluewaterbio.com,http://www.bluewaterbio.com,Design manufacture and market next generation Water and wastewater treatment technology to end users (Municipalities and industry) direct and via local partners
BLUE-WHITE INDUSTRIES,B2-L20,http://www.blue-white.com,http://www.blue-white.com,"For over sixty years, BLUE-WHITE® Industries, located in Huntington Beach, CA, USA has been a leading manufacturer of Precision Chemical Metering Pumps and Flow Instruments (Flowmeters), used in applications designed to purify both Water and Waste Water. 

Product lines include: Peristaltic and Diaphragm type Chemical Metering Pumps, Variable Area Flowmeters, Ultrasonic Flowmeters, Digital Paddlewheel Flowmeters and Chemical Metering Systems.

Our worldwide network of factory authorized representatives and distributors look forward to serving you."
